Country,Locality,Latitude,Longitude,Microhabitat,CpipComplexIDMethod,Fig3A_PieShown,N,N_mm,N_pp,N_pm,Freq_mm,Freq_pp,Freq_pm,Freq_m,Freq_p,F_IS,PooledByAuthors,Reference,DOI_link,1stAuthor,Year
Germany,Ohlsdorf,53.62,10.03,aboveground,adult morphology + ACE,,7,0,7,0,0.00,1.00,0.00,0.00,1.00,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Hummelsbüttel,53.63,10.03,aboveground,adult morphology + ACE,,25,0,25,0,0.00,1.00,0.00,0.00,1.00,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Gammendorf,54.48,11.13,aboveground,adult morphology + ACE,,14,0,14,0,0.00,1.00,0.00,0.00,1.00,,no,S18,10.1371/journal.pone.0071832,Rudolf,2013
Germany,Nonnenweier,48.34,7.76,aboveground,adult morphology + ACE,,8,0,8,0,0.00,1.00,0.00,0.00,1.00,,no,S21,10.4269/ajtmh.2006.75.2.0750251,Bahnck,2006
Germany,Berlin,52.52,13.38,aboveground,adult morphology + ACE + COI ,,9,0,9,0,0.00,1.00,0.00,0.00,1.00,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
Germany,Hannover,52.37,9.72,aboveground,adult morphology + ACE + COI ,,17,0,17,0,0.00,1.00,0.00,0.00,1.00,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
Greece,Thessaloniki ,40.63,22.73,aboveground,adult morphology + ACE,X,36,24,6,6,0.67,0.17,0.17,0.75,0.25,0.556,no,S2,10.1016/ j.meegid.2013.02.006,Gomes,2013
Greece,Schinias-Marathonas ,38.15,24.02,aboveground,adult morphology + ACE,X,40,34,0,6,0.85,0.00,0.15,0.93,0.08,-0.081,no,S2,10.1016/ j.meegid.2013.02.006,Gomes,2013
Iran,Coast of Caspian Sea,36.66,51.09,aboveground,adult morphology,X,323,4,305,14,0.01,0.94,0.04,0.03,0.97,,yes across sites and years,S17,10.1186/s13071-018-3237-2,Shahhosseini,2018
Italy,"Appiano - Lago di Monticolo, South Tyrol Province",46.44,11.27,aboveground,adult morphology + ACE,,20,0,20,0,0.00,1.00,0.00,0.00,1.00,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Ponte Oliveti, Trento Province",46.04,10.96,aboveground,adult morphology + ACE,,6,1,5,0,0.17,0.83,0.00,0.17,0.83,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Ceniga, Trento Province",45.95,10.90,aboveground,adult morphology + ACE,,11,4,5,2,0.36,0.45,0.18,0.45,0.55,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Arco, Trento Province",45.92,10.89,aboveground,adult morphology + ACE,,14,3,6,5,0.21,0.43,0.36,0.39,0.61,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Bolognano, Trento Province",45.91,10.90,aboveground,adult morphology + ACE,,7,3,1,3,0.43,0.14,0.43,0.64,0.36,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Riva del Garda, Trento Province",45.89,10.84,aboveground,adult morphology + ACE,,12,1,8,3,0.08,0.67,0.25,0.21,0.79,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Gazzo Padovano, Padua Province",45.56,11.68,aboveground,adult morphology + ACE,,20,0,18,2,0.00,0.90,0.10,0.05,0.95,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Oasi della Valle Averto, Venice Province",45.36,12.10,aboveground,adult morphology + ACE,,20,0,19,1,0.00,0.95,0.05,0.03,0.98,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"PeriLegnaro, Padua Province",45.34,11.97,aboveground,adult morphology + ACE,,10,1,7,2,0.10,0.70,0.20,0.20,0.80,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"PeriBrugine, Padua Province",45.30,12.00,aboveground,adult morphology + ACE,,20,1,19,0,0.05,0.95,0.00,0.05,0.95,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"S.Anna di Chioggia, Venice Province",45.15,12.27,aboveground,adult morphology + ACE,,11,1,6,4,0.09,0.55,0.36,0.27,0.73,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Rosolina, Rovigo Province",45.14,12.32,aboveground,adult morphology + ACE,,19,5,12,2,0.26,0.63,0.11,0.32,0.68,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Papozze, Rovigo Province",44.99,12.03,aboveground,adult morphology + ACE,,18,1,17,0,0.06,0.94,0.00,0.06,0.94,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Ficarolo, Rovigo Province",44.96,11.44,aboveground,adult morphology + ACE,,17,2,12,3,0.12,0.71,0.18,0.21,0.79,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Pomposa, Ferrara Province",44.84,12.18,aboveground,adult morphology + ACE,,8,1,7,0,0.13,0.88,0.00,0.13,0.88,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
